"participant_name","matches_played","wins","win_percentage","avg_points","performance_index","stages_participated"
"KHARLAN Olga",5,4,80,13.4,458,5
"KIEFER Lee",5,5,100,15,520,5
"KIM Jaewon",1,0,0,12,360,1
"KLASIK Alicja",2,1,50,11,365,2
"KNAPIK-MIAZGA Renata",1,0,0,9,270,1
"KOCH Mate Tamas",1,0,0,10,300,1
"KOMASHCHUK Alina",1,0,0,8,240,1
"KONG Man Wai Vivian",5,5,100,14.6,508,5
"KRAVATSKA Olena",2,1,50,14.5,470,2
"KRYVYTSKA Olena",3,2,66.6666666666667,11.6666666666667,396.666666666667,3
"KURBANOV Ruslan",3,2,66.6666666666667,12,406.666666666667,3
"Kazakhstan",3,1,33.3333333333333,34,1043.33333333333,3
"LACHERAY Eva",2,1,50,10.5,350,2
"LEE Hyein",1,0,0,13,390,1
"LEFORT Enzo",3,2,66.6666666666667,14.6666666666667,486.666666666667,3
"LIMARDO Francisco",1,0,0,12,360,1
"LIMARDO GASCON Ruben",1,0,0,10,300,1
"LLAVADOR Carlos",2,1,50,13.5,440,2
"LOYOLA Neisser",3,2,66.6666666666667,12.3333333333333,416.666666666667,3
"LUGO Grabiel",3,2,66.6666666666667,14,466.666666666667,3
"LYCZBINSKA Hanna",1,0,0,11,330,1
"MACCHI Filippo",5,4,80,14.8,500,5
"MALLO-BRETON Auriane",5,4,80,14.2,482,5
"MARINI Tommaso",2,1,50,14.5,470,2
"MARTIN-PORTUGUES Lucia",1,0,0,8,240,1
"MARTON Anna",4,3,75,13,442.5,4
"MASSIALAS Alexander",2,1,50,11.5,380,2
"MATSUYAMA Kyosuke",2,1,50,13,425,2
"MEINHARDT Gerek",2,1,50,12.5,410,2
"MERTINE Julien",1,0,0,6,180,1
"MIDELTON Luidgi",1,0,0,14,420,1
"MINOBE Kazuyasu",2,1,50,10,335,2
"MIYAWAKI Karin",1,0,0,10,300,1
"MO Ziwei",2,1,50,12.5,410,2
"MOATAZ Adham",1,0,0,8,240,1
"MOELLHAUSEN Nathalie",1,0,0,11,330,1
"MOHSEN Mahmoud",1,0,0,8,240,1
"MORMILE Chiara",1,0,0,10,300,1
"MUHARI Eszter",5,4,80,13.8,470,5
"NAZLYMOV Tatiana",1,0,0,14,420,1
"NDOLO Alexandra",1,0,0,12,360,1
"OH Sanguk",5,5,100,15,520,5
"PAKDAMAN Ali",2,1,50,12.5,410,2
"PAREDES TORRES Katherine F",1,0,0,10,300,1
"PARK Sangwon",2,1,50,13,425,2
"PASZTOR Flora",3,2,66.6666666666667,11.3333333333333,386.666666666667,3
"PATRICE Sebastien",2,1,50,14,455,2
"PAUTY Maxime",3,2,66.6666666666667,14.6666666666667,486.666666666667,3
"PIANFETTI Maxime",1,0,0,12,360,1
"PISTOIA Mariana",1,0,0,13,390,1
"PUSZTAI Liza",2,1,50,11,365,2
"People's Republic of China",9,4,44.4444444444444,38.4444444444444,1184.44444444444,6
"Poland",9,4,44.4444444444444,37.2222222222222,1147.77777777778,5
"RAHBARI Mohammad",1,0,0,13,390,1
"RANVIER Pauline",2,1,50,12,395,2
"RIZZI Giulia",1,0,0,11,330,1
"RODRIGUEZ John Edison",1,0,0,7,210,1
"RUBES Martin",1,0,0,10,300,1
"Republic of Korea",9,7,77.7777777777778,43.1111111111111,1347.77777777778,5
"SAMELE Luigi",5,4,80,13,446,5
"SANER Harry",1,0,0,9,270,1
"SANTARELLI Andrea",2,1,50,12.5,410,2
"SANTUCCIO Alberta",3,2,66.6666666666667,13,436.666666666667,3
"SARON Mitchell",2,1,50,14,455,2
"SARYBAY Aigerim",2,1,50,13.5,440,2
"SAUER Anne",3,2,66.6666666666667,14,466.666666666667,3
"SCHEMBRI Kruz",1,0,0,8,240,1
"SCRUGGS Lauren",5,4,80,13.2,452,5
"SHARLAIMOV Vadim",2,1,50,14,455,2
"SHEN Chenpeng",3,2,66.6666666666667,14.6666666666667,486.666666666667,3
"SHIKINE Takahiro",1,0,0,9,270,1
"SIESS Michal",1,0,0,3,90,1
"SIKLOSI Gergely",2,1,50,14,455,2
"SKARBONKIEWICZ Magda",1,0,0,11,330,1
"SONG Sera",2,1,50,10.5,350,2
"SUN Yiwen",1,0,0,13,390,1
"SWATOWSKA-WENGLARCZYK Martyna",1,0,0,11,330,1
"SZABO Matyas",3,2,66.6666666666667,14.6666666666667,486.666666666667,3
"SZATMARI Andras",1,0,0,13,390,1
"SZILAGYI Aron",1,0,0,8,240,1
"SZUCS Luca Virag",3,2,66.6666666666667,14,466.666666666667,3
"TAKASHIMA Risa",1,0,0,10,300,1
"TANG Junyao",1,0,0,10,300,1
