"participant_country","event_name","country_total_wins","country_avg_performance","participants_per_event","discipline_avg_points","discipline_win_percentage"
"CÃ´te d'Ivoire","Women's Foil Individual",0,2.1,1,7,0
"Egypt","Men's Foil Individual",3,38.5,3,11.6666666666667,50
"Egypt","Men's Foil Team",0,14.0266666666667,1,36.3333333333333,0
"Egypt","Men's Sabre Individual",5,42.8555555555555,3,13.2222222222222,55.5555555555556
"Egypt","Men's Sabre Team",1,14.0266666666667,1,41.3333333333333,33.3333333333333
"Egypt","Men's Épée Individual",4,43.0857142857143,3,10.2857142857143,57.1428571428571
"Egypt","Men's Épée Team",0,14.0266666666667,1,31.6666666666667,0
"Egypt","Women's Foil Individual",0,1.3,3,4.33333333333333,0
"Egypt","Women's Foil Team",0,14.0266666666667,1,17.6666666666667,0
"Egypt","Women's Sabre Individual",1,38.3,1,11,50
"Egypt","Women's Épée Individual",2,31.6,3,12,40
"Egypt","Women's Épée Team",0,14.0266666666667,1,29,0
"Estonia","Women's Épée Individual",3,45.6,1,12,60
"France","Men's Foil Individual",4,44.0285714285714,3,13.4285714285714,57.1428571428571
"France","Men's Foil Team",2,51.0555555555556,1,42.3333333333333,66.6666666666667
"France","Men's Sabre Individual",2,31.78,3,12.6,40
"France","Men's Sabre Team",2,51.0555555555556,1,43,66.6666666666667
"France","Men's Épée Individual",5,47.6875,3,13.125,62.5
"France","Men's Épée Team",1,51.0555555555556,1,38.6666666666667,33.3333333333333
"France","Women's Foil Individual",2,31.42,3,11.4,40
"France","Women's Foil Team",2,51.0555555555556,1,42,66.6666666666667
"France","Women's Sabre Individual",10,62.5583333333333,3,14.0833333333333,83.3333333333333
"France","Women's Sabre Team",1,51.0555555555556,1,40.3333333333333,33.3333333333333
"France","Women's Épée Individual",6,50.7666666666667,3,13.6666666666667,66.6666666666667
"France","Women's Épée Team",2,51.0555555555556,1,37,66.6666666666667
"Georgia","Men's Sabre Individual",1,39.35,1,14.5,50
"Germany","Men's Sabre Individual",2,51.0666666666667,1,14.6666666666667,66.6666666666667
"Germany","Women's Foil Individual",2,50.8666666666667,1,14,66.6666666666667
"Greece","Women's Sabre Individual",2,50.9666666666667,1,14.3333333333333,66.6666666666667
"Hong Kong, China","Men's Foil Individual",5,74.5,1,15,100
"Hong Kong, China","Men's Épée Individual",0,2.7,1,9,0
"Hong Kong, China","Women's Foil Individual",1,38.45,1,11.5,50
"Hong Kong, China","Women's Épée Individual",5,74.38,1,14.6,100
"Hungary","Men's Foil Individual",0,4.2,1,14,0
"Hungary","Men's Sabre Individual",1,21.25,3,12.5,25
"Hungary","Men's Sabre Team",2,58.9333333333333,1,43.6666666666667,66.6666666666667
"Hungary","Men's Épée Individual",4,38.7875,3,12.625,50
"Hungary","Men's Épée Team",3,58.9333333333333,1,38.6666666666667,100
"Hungary","Women's Foil Individual",2,50.0666666666667,1,11.3333333333333,66.6666666666667
"Hungary","Women's Sabre Individual",6,50.5333333333333,3,12.8888888888889,66.6666666666667
"Hungary","Women's Sabre Team",1,58.9333333333333,1,40.3333333333333,33.3333333333333
"Hungary","Women's Épée Individual",4,60.14,1,13.8,80
"IR Iran","Men's Sabre Individual",1,21.325,3,12.75,25
"IR Iran","Men's Sabre Team",1,34.6333333333333,1,37.6666666666667,33.3333333333333
"Israel","Men's Épée Individual",0,3.9,1,13,0
"Italy","Men's Foil Individual",7,53.41,3,14.7,70
"Italy","Men's Foil Team",2,59.0333333333333,1,42,66.6666666666667
"Italy","Men's Sabre Individual",5,47.425,3,12.25,62.5
"Italy","Men's Sabre Team",2,59.0333333333333,1,42.6666666666667,66.6666666666667
"Italy","Men's Épée Individual",4,43.9428571428571,3,13.1428571428571,57.1428571428571
"Italy","Men's Épée Team",2,59.0333333333333,1,42.6666666666667,66.6666666666667
